id,file,line,type,source_text,revised_text,notes
JP-0001,src/pages/AboutPage.jsx,16,jsx_text,金融情報の不透明性をなくし、,,
JP-0002,src/pages/AboutPage.jsx,18,jsx_text,誰もが主役になれる,,
JP-0003,src/pages/AboutPage.jsx,18,jsx_text,金融社会へ。,,
JP-0004,src/pages/AboutPage.jsx,20,jsx_text,MoneyMartは、,,
JP-0005,src/pages/AboutPage.jsx,21,jsx_text,・AIを活用し、中立・公正な立場で最適な金融商品を提案する,,
JP-0006,src/pages/AboutPage.jsx,21,jsx_text,日本発のAI金融プラットフォームです。,,
JP-0007,src/pages/AboutPage.jsx,21,jsx_text,独立系,,
JP-0008,src/pages/AboutPage.jsx,30,jsx_text,私たちの使命と価値観,,
JP-0009,src/pages/AboutPage.jsx,39,jsx_text,「金融アドバイスの民主化」,,
JP-0010,src/pages/AboutPage.jsx,42,jsx_text,一部の富裕層だけのものであった「質の高い金融アドバイス」を、,,
JP-0011,src/pages/AboutPage.jsx,43,jsx_text,として、情報の非対称性を解消し、誰もが納得して資産形成できる世界を作ります。,,
JP-0012,src/pages/AboutPage.jsx,43,jsx_text,の力ですべての人に届けます。金融機関と資本提携を持たない,,
JP-0013,src/pages/AboutPage.jsx,43,jsx_text,独立系,,
JP-0014,src/pages/AboutPage.jsx,48,string_literal,独立系 (Independent),,
JP-0015,src/pages/AboutPage.jsx,48,string_literal,金融機関との資本提携を持たず、完全に中立な立場でアドバイスを提供します。,,
JP-0016,src/pages/AboutPage.jsx,49,string_literal,中立・公正 (Fairness),,
JP-0017,src/pages/AboutPage.jsx,49,string_literal,金融機関の手数料に左右されず、ユーザーにとって本当に良い商品だけを提案します。,,
JP-0018,src/pages/AboutPage.jsx,50,string_literal,AIを活用し、個人の状況に最適化された金融アドバイスを誰もが利用できるようにします。,,
JP-0019,src/pages/AboutPage.jsx,50,string_literal,AI駆動,,
JP-0020,src/pages/AboutPage.jsx,51,string_literal,コストやリスクを隠さず、全ての情報をオープンにします。,,
JP-0021,src/pages/AboutPage.jsx,51,string_literal,透明性 (Transparency),,
JP-0022,src/pages/AboutPage.jsx,52,string_literal,すべての意思決定において、ユーザーの利益を最優先します。,,
JP-0023,src/pages/AboutPage.jsx,52,string_literal,ユーザーファースト,,
JP-0024,src/pages/AboutPage.jsx,81,jsx_text,テクノロジーと金融の融合で、,,
JP-0025,src/pages/AboutPage.jsx,81,string_literal,> テクノロジーと金融の融合で、<br />日本の資産運用を変革する。 </h3> <div className=,,
JP-0026,src/pages/AboutPage.jsx,82,jsx_text,日本の資産運用を変革する。,,
JP-0027,src/pages/AboutPage.jsx,84,string_literal,> <p>創業以来、私たちは「わかりにくい金融を、もっとシンプルに」という想いで走り続けてきました。</p> <p>グローバル金融機関での経験と最新の<strong>AI</strong>テクノロジーを掛け合わせることで、これまで専門家しかアクセスできなかった高度な分析を、スマートフォンの画面一つで提供できるようにしました。<strong>独立系</strong>として、金融機関の利害に左右されない公正なアドバイスを届けています。</p> <p>MoneyMartは単なる比較サイトではありません。あなたの人生に寄り添う、最も信頼できる金融パートナーを目指しています。</p> </div> <div className=,,
JP-0028,src/pages/AboutPage.jsx,85,jsx_text,創業以来、私たちは「わかりにくい金融を、もっとシンプルに」という想いで走り続けてきました。,,
JP-0029,src/pages/AboutPage.jsx,86,jsx_text,として、金融機関の利害に左右されない公正なアドバイスを届けています。,,
JP-0030,src/pages/AboutPage.jsx,86,jsx_text,グローバル金融機関での経験と最新の,,
JP-0031,src/pages/AboutPage.jsx,86,jsx_text,テクノロジーを掛け合わせることで、これまで専門家しかアクセスできなかった高度な分析を、スマートフォンの画面一つで提供できるようにしました。,,
JP-0032,src/pages/AboutPage.jsx,86,jsx_text,独立系,,
JP-0033,src/pages/AboutPage.jsx,87,jsx_text,MoneyMartは単なる比較サイトではありません。あなたの人生に寄り添う、最も信頼できる金融パートナーを目指しています。,,
JP-0034,src/pages/AboutPage.jsx,102,jsx_text,会社概要,,
JP-0035,src/pages/AboutPage.jsx,102,string_literal,/> 会社概要 </h2> </div> <div className=,,
JP-0036,src/pages/AboutPage.jsx,105,string_literal,"> {[ { label: '会社名', value: 'MoneyLab Ltd. (MoneyMart運営会社)' }, { label: '代表者', value: '代表取締役 Kelly Nam' }, { label: '設立', value: '2025年 12月' }, { label: '資本金', value: '5,000万円（資本準備金含む）' }, { label: '所在地', value: '〒106-0032 東京都港区六本木 1-4-5 アークヒルズサウスタワー' }, { label: '事業内容', value: '金融商品比較プラットフォーム「MoneyMart」の運営\nAI資産管理ツールの開発・提供' }, { label: '登録番号', value: '金融商品取引業者 関東財務局長（金商）第1234号' }, { label: '主要取引銀行', value: '三菱UFJ銀行、三井住友銀行、みずほ銀行' }, ].map((row, i) => ( <div key={i} className=",,
JP-0037,src/pages/AboutPage.jsx,130,jsx_text,私たちと一緒に働きませんか？,,
JP-0038,src/pages/AboutPage.jsx,130,string_literal,>私たちと一緒に働きませんか？</h2> <p className=,,
JP-0039,src/pages/AboutPage.jsx,131,jsx_text,MoneyLabでは、金融の未来を創る仲間を募集しています。,,
JP-0040,src/pages/AboutPage.jsx,131,string_literal,> MoneyLabでは、金融の未来を創る仲間を募集しています。<br /> エンジニア、マーケター、金融スペシャリストをお待ちしています。 </p> <button className=,,
JP-0041,src/pages/AboutPage.jsx,132,jsx_text,エンジニア、マーケター、金融スペシャリストをお待ちしています。,,
JP-0042,src/pages/AboutPage.jsx,135,jsx_text,採用情報を見る,,
JP-0043,src/pages/AcademyPage.jsx,13,string_literal,【徹底解説】新NISA、初心者はこれを買え！失敗しない銘柄選び,,
JP-0044,src/pages/AcademyPage.jsx,14,string_literal,MoneyMart 公式チャンネル,,
JP-0045,src/pages/AcademyPage.jsx,15,string_literal,12.5万回視聴,,
JP-0046,src/pages/AcademyPage.jsx,17,string_literal,初心者向け,,
JP-0047,src/pages/AcademyPage.jsx,17,string_literal,投資信託,,
JP-0048,src/pages/AcademyPage.jsx,17,string_literal,新NISA,,
JP-0049,src/pages/AcademyPage.jsx,25,string_literal,🐣 投資1年生のための基礎講座,,
JP-0050,src/pages/AcademyPage.jsx,27,string_literal,初級,,
JP-0051,src/pages/AcademyPage.jsx,27,string_literal,株と債券の違いとは？,,
JP-0052,src/pages/AcademyPage.jsx,28,string_literal,初級,,
JP-0053,src/pages/AcademyPage.jsx,28,string_literal,複利効果で資産を倍にする方法,,
JP-0054,src/pages/AcademyPage.jsx,29,string_literal,iDeCoの節税メリット,,
JP-0055,src/pages/AcademyPage.jsx,29,string_literal,初級,,
JP-0056,src/pages/AcademyPage.jsx,34,string_literal,📊 チャート分析・テクニカル,,
JP-0057,src/pages/AcademyPage.jsx,36,string_literal,中級,,
JP-0058,src/pages/AcademyPage.jsx,36,string_literal,移動平均線のゴールデンクロス,,
JP-0059,src/pages/AcademyPage.jsx,37,string_literal,MACDを使った売買タイミング,,
JP-0060,src/pages/AcademyPage.jsx,37,string_literal,中級,,
JP-0061,src/pages/AcademyPage.jsx,38,string_literal,ボリンジャーバンド完全攻略,,
JP-0062,src/pages/AcademyPage.jsx,38,string_literal,上級,,
JP-0063,src/pages/AcademyPage.jsx,44,string_literal,PER (株価収益率),,
JP-0064,src/pages/AcademyPage.jsx,45,string_literal,ピーイーアール / Price Earnings Ratio,,
JP-0065,src/pages/AcademyPage.jsx,46,string_literal,株価が1株当たり純利益の何倍まで買われているかを見る指標。一般的に15倍以下だと割安とされる。,,
JP-0066,src/pages/AcademyPage.jsx,47,string_literal,「A社のPERは10倍なので、同業他社より割安だ」,,
JP-0067,src/pages/AcademyPage.jsx,51,string_literal,🐣 投資1年生のための基礎講座,,
JP-0068,src/pages/AcademyPage.jsx,52,string_literal,📊 チャート分析・テクニカル,,
JP-0069,src/pages/AcademyPage.jsx,53,string_literal,📘 投資リテラシー講座,,
JP-0070,src/pages/AcademyPage.jsx,65,string_literal,${(n / 10000).toFixed(1)}万回視聴,,
JP-0071,src/pages/AcademyPage.jsx,66,string_literal,${n.toLocaleString()}回視聴,,
JP-0072,src/pages/AcademyPage.jsx,88,string_literal,動画リンク準備中です。しばらくしてから再度お試しください。,,
JP-0073,src/pages/AcademyPage.jsx,119,string_literal,初級,,
JP-0074,src/pages/AcademyPage.jsx,175,string_literal,すべて,,
JP-0075,src/pages/AcademyPage.jsx,176,string_literal,一般講座,,
JP-0076,src/pages/AcademyPage.jsx,176,string_literal,分析講座,,
JP-0077,src/pages/AcademyPage.jsx,176,string_literal,基礎講座,,
JP-0078,src/pages/AcademyPage.jsx,184,jsx_text,アカデミー,,
JP-0079,src/pages/AcademyPage.jsx,188,jsx_text,マイページ,,
JP-0080,src/pages/AcademyPage.jsx,194,jsx_text,お金の知識が、,,
JP-0081,src/pages/AcademyPage.jsx,196,jsx_text,未来の資産,,
JP-0082,src/pages/AcademyPage.jsx,198,jsx_text,になる。,,
JP-0083,src/pages/AcademyPage.jsx,201,jsx_text,動画で学ぶ、クイズで試す。最短で投資家デビュー。,,
JP-0084,src/pages/AcademyPage.jsx,210,string_literal,"何を学びたいですか？ (例: NISA, チャート分析...)",,
JP-0085,src/pages/AcademyPage.jsx,256,jsx_text,講座データを読み込み中...,,
JP-0086,src/pages/AcademyPage.jsx,272,jsx_text,公式,,
JP-0087,src/pages/AcademyPage.jsx,297,jsx_text,すべて見る,,
JP-0088,src/pages/AcademyPage.jsx,320,string_literal,text-[10px] font-bold px-1.5 py-0.5 rounded ${video.level === '初級' ? 'bg-green-100 dark:bg-green-900/30 text-green-600 dark:text-green-400' : video.level === '中級' ? 'bg-yellow-100 dark:bg-yellow-900/30 text-yellow-600 dark:text-yellow-400' : 'bg-red-100 dark:bg-red-900/30 text-red-600 dark:text-red-400'},,
JP-0089,src/pages/AcademyPage.jsx,325,jsx_text,リンク準備中,,
JP-0090,src/pages/AcademyPage.jsx,333,jsx_text,該当する講座が見つかりませんでした。,,
JP-0091,src/pages/AcademyPage.jsx,346,jsx_text,今日の用語,,
JP-0092,src/pages/AcademyPage.jsx,363,jsx_text,学習レベル,,
JP-0093,src/pages/AcademyPage.jsx,364,jsx_text,Lv.3 初級,,
JP-0094,src/pages/AcademyPage.jsx,378,jsx_text,次のレベルまで,,
JP-0095,src/pages/AcademyPage.jsx,383,jsx_text,今日のクイズに挑戦,,
JP-0096,src/pages/AcademyPage.jsx,391,jsx_text,プレミアム会員限定,,
JP-0097,src/pages/AcademyPage.jsx,392,jsx_text,プロ投資家による,,
